,bench_prior,wins,scores,fidelity,zone,benchmark,prior
295,B-7_bad,0.0,0.0,13.0,12_18,B-7,bad
296,B-8_bad,0.0,0.0,13.0,12_18,B-8,bad
297,B-9_bad,0.0,0.0,13.0,12_18,B-9,bad
298,B-10_bad,0.0,0.0,13.0,12_18,B-10,bad
299,B-11_bad,0.0,0.0,13.0,12_18,B-11,bad
300,B-6_at25,1.0,-0.007,13.0,12_18,B-6,at25
301,B-8_at25,1.0,-0.05,13.0,12_18,B-8,at25
302,B-11_at25,1.0,-0.053,13.0,12_18,B-11,at25
303,B-1_at25,0.0,0.0,13.0,12_18,B-1,at25
304,B-0_at25,0.0,0.0,13.0,12_18,B-0,at25
305,B-9_at25,0.0,0.0,13.0,12_18,B-9,at25
306,B-5_at25,1.0,-0.027,13.0,12_18,B-5,at25
307,B-10_at25,1.0,-0.004,13.0,12_18,B-10,at25
308,B-3_at25,1.0,-0.02,13.0,12_18,B-3,at25
309,B-4_at25,1.0,-0.019,13.0,12_18,B-4,at25
310,B-7_at25,1.0,-0.014,13.0,12_18,B-7,at25
311,B-2_at25,0.0,0.0,13.0,12_18,B-2,at25
312,B-0_bad,0.0,0.0,14.0,12_18,B-0,bad
313,B-1_bad,0.0,0.0,14.0,12_18,B-1,bad
314,B-2_bad,0.0,0.0,14.0,12_18,B-2,bad
315,B-3_bad,1.0,-0.016,14.0,12_18,B-3,bad
316,B-4_bad,0.0,0.0,14.0,12_18,B-4,bad
317,B-5_bad,0.0,0.0,14.0,12_18,B-5,bad
318,B-6_bad,0.0,0.0,14.0,12_18,B-6,bad
319,B-7_bad,0.0,0.0,14.0,12_18,B-7,bad
320,B-8_bad,0.0,0.0,14.0,12_18,B-8,bad
321,B-9_bad,0.0,0.0,14.0,12_18,B-9,bad
322,B-10_bad,0.0,0.0,14.0,12_18,B-10,bad
323,B-11_bad,0.0,0.0,14.0,12_18,B-11,bad
324,B-6_at25,1.0,-0.008,14.0,12_18,B-6,at25
325,B-8_at25,1.0,-0.05,14.0,12_18,B-8,at25
326,B-11_at25,1.0,-0.054,14.0,12_18,B-11,at25
327,B-1_at25,0.0,0.0,14.0,12_18,B-1,at25
328,B-0_at25,0.0,0.0,14.0,12_18,B-0,at25
329,B-9_at25,0.0,0.0,14.0,12_18,B-9,at25
330,B-5_at25,1.0,-0.027,14.0,12_18,B-5,at25
331,B-10_at25,1.0,-0.004,14.0,12_18,B-10,at25
332,B-3_at25,1.0,-0.022,14.0,12_18,B-3,at25
333,B-4_at25,1.0,-0.019,14.0,12_18,B-4,at25
334,B-7_at25,1.0,-0.013,14.0,12_18,B-7,at25
335,B-2_at25,1.0,-0.027,14.0,12_18,B-2,at25
336,B-0_bad,0.0,0.0,15.0,12_18,B-0,bad
337,B-1_bad,0.0,0.0,15.0,12_18,B-1,bad
338,B-2_bad,0.0,0.0,15.0,12_18,B-2,bad
339,B-3_bad,1.0,-0.012,15.0,12_18,B-3,bad
340,B-4_bad,0.0,0.0,15.0,12_18,B-4,bad
341,B-5_bad,0.0,0.0,15.0,12_18,B-5,bad
342,B-6_bad,0.0,0.0,15.0,12_18,B-6,bad
343,B-7_bad,0.0,0.0,15.0,12_18,B-7,bad
344,B-8_bad,0.0,0.0,15.0,12_18,B-8,bad
345,B-9_bad,0.0,0.0,15.0,12_18,B-9,bad
346,B-10_bad,0.0,0.0,15.0,12_18,B-10,bad
347,B-11_bad,0.0,0.0,15.0,12_18,B-11,bad
348,B-6_at25,1.0,-0.008,15.0,12_18,B-6,at25
349,B-8_at25,1.0,-0.049,15.0,12_18,B-8,at25
350,B-11_at25,1.0,-0.048,15.0,12_18,B-11,at25
351,B-1_at25,0.0,0.0,15.0,12_18,B-1,at25
352,B-0_at25,0.0,0.0,15.0,12_18,B-0,at25
353,B-9_at25,0.0,0.0,15.0,12_18,B-9,at25
354,B-5_at25,1.0,-0.025,15.0,12_18,B-5,at25
355,B-10_at25,1.0,-0.004,15.0,12_18,B-10,at25
356,B-3_at25,1.0,-0.019,15.0,12_18,B-3,at25
357,B-4_at25,1.0,-0.014,15.0,12_18,B-4,at25
358,B-7_at25,1.0,-0.007,15.0,12_18,B-7,at25
359,B-2_at25,1.0,-0.026,15.0,12_18,B-2,at25
360,B-0_bad,0.0,0.0,16.0,12_18,B-0,bad
361,B-1_bad,0.0,0.0,16.0,12_18,B-1,bad
362,B-2_bad,0.0,0.0,16.0,12_18,B-2,bad
363,B-3_bad,1.0,-0.02,16.0,12_18,B-3,bad
364,B-4_bad,0.0,0.0,16.0,12_18,B-4,bad
365,B-5_bad,0.0,0.0,16.0,12_18,B-5,bad
366,B-6_bad,0.0,0.0,16.0,12_18,B-6,bad
367,B-7_bad,0.0,0.0,16.0,12_18,B-7,bad
368,B-8_bad,0.0,0.0,16.0,12_18,B-8,bad
369,B-9_bad,0.0,0.0,16.0,12_18,B-9,bad
370,B-10_bad,0.0,0.0,16.0,12_18,B-10,bad
371,B-11_bad,0.0,0.0,16.0,12_18,B-11,bad
372,B-6_at25,1.0,-0.005,16.0,12_18,B-6,at25
373,B-8_at25,1.0,-0.051,16.0,12_18,B-8,at25
374,B-11_at25,1.0,-0.045,16.0,12_18,B-11,at25
375,B-1_at25,0.0,0.0,16.0,12_18,B-1,at25
376,B-0_at25,0.0,0.0,16.0,12_18,B-0,at25
377,B-9_at25,0.0,0.0,16.0,12_18,B-9,at25
378,B-5_at25,1.0,-0.025,16.0,12_18,B-5,at25
379,B-10_at25,1.0,-0.003,16.0,12_18,B-10,at25
380,B-3_at25,1.0,-0.021,16.0,12_18,B-3,at25
381,B-4_at25,1.0,-0.014,16.0,12_18,B-4,at25
382,B-7_at25,1.0,-0.012,16.0,12_18,B-7,at25
383,B-2_at25,1.0,-0.029,16.0,12_18,B-2,at25
384,B-0_bad,0.0,0.0,17.0,12_18,B-0,bad
385,B-1_bad,0.0,0.0,17.0,12_18,B-1,bad
386,B-2_bad,0.0,0.0,17.0,12_18,B-2,bad
387,B-3_bad,1.0,-0.017,17.0,12_18,B-3,bad
388,B-4_bad,0.0,0.0,17.0,12_18,B-4,bad
389,B-5_bad,0.0,0.0,17.0,12_18,B-5,bad
390,B-6_bad,0.0,0.0,17.0,12_18,B-6,bad
391,B-7_bad,0.0,0.0,17.0,12_18,B-7,bad
392,B-8_bad,0.0,0.0,17.0,12_18,B-8,bad
393,B-9_bad,0.0,0.0,17.0,12_18,B-9,bad
394,B-10_bad,0.0,0.0,17.0,12_18,B-10,bad
395,B-11_bad,0.0,0.0,17.0,12_18,B-11,bad
396,B-6_at25,1.0,-0.006,17.0,12_18,B-6,at25
397,B-8_at25,1.0,-0.047,17.0,12_18,B-8,at25
398,B-11_at25,1.0,-0.046,17.0,12_18,B-11,at25
399,B-1_at25,1.0,-0.003,17.0,12_18,B-1,at25
400,B-0_at25,0.0,0.0,17.0,12_18,B-0,at25
401,B-9_at25,0.0,0.0,17.0,12_18,B-9,at25
402,B-5_at25,1.0,-0.021,17.0,12_18,B-5,at25
403,B-10_at25,1.0,-0.003,17.0,12_18,B-10,at25
404,B-3_at25,1.0,-0.019,17.0,12_18,B-3,at25
405,B-4_at25,1.0,-0.019,17.0,12_18,B-4,at25
406,B-7_at25,1.0,-0.01,17.0,12_18,B-7,at25
407,B-2_at25,0.0,0.0,17.0,12_18,B-2,at25
408,B-0_bad,0.0,0.0,18.0,18_24,B-0,bad
409,B-1_bad,0.0,0.0,18.0,18_24,B-1,bad
410,B-2_bad,0.0,0.0,18.0,18_24,B-2,bad
411,B-3_bad,1.0,-0.02,18.0,18_24,B-3,bad
412,B-4_bad,0.0,0.0,18.0,18_24,B-4,bad
413,B-5_bad,0.0,0.0,18.0,18_24,B-5,bad
414,B-6_bad,0.0,0.0,18.0,18_24,B-6,bad
415,B-7_bad,1.0,-0.009,18.0,18_24,B-7,bad
416,B-8_bad,0.0,0.0,18.0,18_24,B-8,bad
417,B-9_bad,0.0,0.0,18.0,18_24,B-9,bad
418,B-10_bad,0.0,0.0,18.0,18_24,B-10,bad
419,B-11_bad,0.0,0.0,18.0,18_24,B-11,bad
420,B-6_at25,1.0,-0.005,18.0,18_24,B-6,at25
421,B-8_at25,1.0,-0.046,18.0,18_24,B-8,at25
422,B-11_at25,1.0,-0.041,18.0,18_24,B-11,at25
423,B-1_at25,1.0,-0.004,18.0,18_24,B-1,at25
424,B-0_at25,0.0,0.0,18.0,18_24,B-0,at25
425,B-9_at25,0.0,0.0,18.0,18_24,B-9,at25
426,B-5_at25,1.0,-0.023,18.0,18_24,B-5,at25
427,B-10_at25,1.0,-0.003,18.0,18_24,B-10,at25
428,B-3_at25,1.0,-0.025,18.0,18_24,B-3,at25
429,B-4_at25,1.0,-0.018,18.0,18_24,B-4,at25
430,B-7_at25,1.0,-0.014,18.0,18_24,B-7,at25
431,B-2_at25,1.0,-0.035,18.0,18_24,B-2,at25
432,B-0_bad,0.0,0.0,19.0,18_24,B-0,bad
433,B-1_bad,0.0,0.0,19.0,18_24,B-1,bad
434,B-2_bad,0.0,0.0,19.0,18_24,B-2,bad
435,B-3_bad,1.0,-0.02,19.0,18_24,B-3,bad
436,B-4_bad,0.0,0.0,19.0,18_24,B-4,bad
437,B-5_bad,0.0,0.0,19.0,18_24,B-5,bad
438,B-6_bad,0.0,0.0,19.0,18_24,B-6,bad
439,B-7_bad,1.0,-0.009,19.0,18_24,B-7,bad
440,B-8_bad,0.0,0.0,19.0,18_24,B-8,bad
441,B-9_bad,0.0,0.0,19.0,18_24,B-9,bad
442,B-10_bad,0.0,0.0,19.0,18_24,B-10,bad
443,B-11_bad,0.0,0.0,19.0,18_24,B-11,bad
444,B-6_at25,1.0,-0.006,19.0,18_24,B-6,at25
445,B-8_at25,1.0,-0.046,19.0,18_24,B-8,at25
446,B-11_at25,1.0,-0.042,19.0,18_24,B-11,at25
447,B-1_at25,1.0,-0.004,19.0,18_24,B-1,at25
448,B-0_at25,0.0,0.0,19.0,18_24,B-0,at25
449,B-9_at25,0.0,0.0,19.0,18_24,B-9,at25
450,B-5_at25,1.0,-0.024,19.0,18_24,B-5,at25
451,B-10_at25,1.0,-0.003,19.0,18_24,B-10,at25
452,B-3_at25,1.0,-0.025,19.0,18_24,B-3,at25
453,B-4_at25,1.0,-0.022,19.0,18_24,B-4,at25
454,B-7_at25,1.0,-0.014,19.0,18_24,B-7,at25
455,B-2_at25,1.0,-0.035,19.0,18_24,B-2,at25
456,B-0_bad,0.0,0.0,20.0,18_24,B-0,bad
457,B-1_bad,0.0,0.0,20.0,18_24,B-1,bad
458,B-2_bad,0.0,0.0,20.0,18_24,B-2,bad
459,B-3_bad,1.0,-0.019,20.0,18_24,B-3,bad
460,B-4_bad,0.0,0.0,20.0,18_24,B-4,bad
461,B-5_bad,0.0,0.0,20.0,18_24,B-5,bad
462,B-6_bad,0.0,0.0,20.0,18_24,B-6,bad
463,B-7_bad,0.0,0.0,20.0,18_24,B-7,bad
464,B-8_bad,0.0,0.0,20.0,18_24,B-8,bad
465,B-9_bad,0.0,0.0,20.0,18_24,B-9,bad
466,B-10_bad,0.0,0.0,20.0,18_24,B-10,bad
467,B-11_bad,0.0,0.0,20.0,18_24,B-11,bad
468,B-6_at25,1.0,-0.006,20.0,18_24,B-6,at25
469,B-8_at25,1.0,-0.044,20.0,18_24,B-8,at25
470,B-11_at25,1.0,-0.042,20.0,18_24,B-11,at25
471,B-1_at25,1.0,-0.004,20.0,18_24,B-1,at25
472,B-0_at25,0.0,0.0,20.0,18_24,B-0,at25
473,B-9_at25,0.0,0.0,20.0,18_24,B-9,at25
474,B-5_at25,1.0,-0.024,20.0,18_24,B-5,at25
475,B-10_at25,1.0,-0.003,20.0,18_24,B-10,at25
476,B-3_at25,1.0,-0.023,20.0,18_24,B-3,at25
477,B-4_at25,1.0,-0.022,20.0,18_24,B-4,at25
478,B-7_at25,1.0,-0.012,20.0,18_24,B-7,at25
479,B-2_at25,1.0,-0.035,20.0,18_24,B-2,at25
480,B-0_bad,1.0,-0.016,21.0,18_24,B-0,bad
481,B-1_bad,0.0,0.0,21.0,18_24,B-1,bad
482,B-2_bad,1.0,-0.04,21.0,18_24,B-2,bad
483,B-3_bad,1.0,-0.023,21.0,18_24,B-3,bad
484,B-4_bad,0.0,0.0,21.0,18_24,B-4,bad
485,B-5_bad,0.0,0.0,21.0,18_24,B-5,bad
486,B-6_bad,0.0,0.0,21.0,18_24,B-6,bad
487,B-7_bad,1.0,-0.01,21.0,18_24,B-7,bad
488,B-8_bad,0.0,0.0,21.0,18_24,B-8,bad
489,B-9_bad,0.0,0.0,21.0,18_24,B-9,bad
490,B-10_bad,0.0,0.0,21.0,18_24,B-10,bad
491,B-11_bad,0.0,0.0,21.0,18_24,B-11,bad
492,B-6_at25,1.0,-0.006,21.0,18_24,B-6,at25
493,B-8_at25,1.0,-0.042,21.0,18_24,B-8,at25
494,B-11_at25,1.0,-0.039,21.0,18_24,B-11,at25
495,B-1_at25,1.0,-0.004,21.0,18_24,B-1,at25
496,B-0_at25,0.0,0.0,21.0,18_24,B-0,at25
497,B-9_at25,0.0,0.0,21.0,18_24,B-9,at25
498,B-5_at25,1.0,-0.021,21.0,18_24,B-5,at25
499,B-10_at25,1.0,-0.003,21.0,18_24,B-10,at25
500,B-3_at25,1.0,-0.026,21.0,18_24,B-3,at25
501,B-4_at25,1.0,-0.022,21.0,18_24,B-4,at25
502,B-7_at25,1.0,-0.016,21.0,18_24,B-7,at25
503,B-2_at25,1.0,-0.046,21.0,18_24,B-2,at25
504,B-0_bad,1.0,-0.017,22.0,18_24,B-0,bad
505,B-1_bad,0.0,0.0,22.0,18_24,B-1,bad
506,B-2_bad,1.0,-0.038,22.0,18_24,B-2,bad
507,B-3_bad,1.0,-0.02,22.0,18_24,B-3,bad
508,B-4_bad,0.0,0.0,22.0,18_24,B-4,bad
509,B-5_bad,0.0,0.0,22.0,18_24,B-5,bad
510,B-6_bad,0.0,0.0,22.0,18_24,B-6,bad
511,B-7_bad,1.0,-0.01,22.0,18_24,B-7,bad
512,B-8_bad,0.0,0.0,22.0,18_24,B-8,bad
513,B-9_bad,0.0,0.0,22.0,18_24,B-9,bad
514,B-10_bad,0.0,0.0,22.0,18_24,B-10,bad
515,B-11_bad,0.0,0.0,22.0,18_24,B-11,bad
516,B-6_at25,1.0,-0.006,22.0,18_24,B-6,at25
517,B-8_at25,1.0,-0.041,22.0,18_24,B-8,at25
518,B-11_at25,1.0,-0.039,22.0,18_24,B-11,at25
519,B-1_at25,1.0,-0.004,22.0,18_24,B-1,at25
520,B-0_at25,0.0,0.0,22.0,18_24,B-0,at25
521,B-9_at25,0.0,0.0,22.0,18_24,B-9,at25
522,B-5_at25,1.0,-0.021,22.0,18_24,B-5,at25
523,B-10_at25,1.0,-0.003,22.0,18_24,B-10,at25
524,B-3_at25,1.0,-0.026,22.0,18_24,B-3,at25
525,B-4_at25,1.0,-0.023,22.0,18_24,B-4,at25
526,B-7_at25,1.0,-0.016,22.0,18_24,B-7,at25
527,B-2_at25,1.0,-0.046,22.0,18_24,B-2,at25
528,B-0_bad,1.0,-0.018,23.0,18_24,B-0,bad
529,B-1_bad,1.0,-0.004,23.0,18_24,B-1,bad
530,B-2_bad,1.0,-0.04,23.0,18_24,B-2,bad
531,B-3_bad,1.0,-0.02,23.0,18_24,B-3,bad
532,B-4_bad,0.0,0.0,23.0,18_24,B-4,bad
533,B-5_bad,0.0,0.0,23.0,18_24,B-5,bad
534,B-6_bad,0.0,0.0,23.0,18_24,B-6,bad
535,B-7_bad,1.0,-0.01,23.0,18_24,B-7,bad
536,B-8_bad,0.0,0.0,23.0,18_24,B-8,bad
537,B-9_bad,0.0,0.0,23.0,18_24,B-9,bad
538,B-10_bad,0.0,0.0,23.0,18_24,B-10,bad
539,B-11_bad,0.0,0.0,23.0,18_24,B-11,bad
540,B-6_at25,1.0,-0.006,23.0,18_24,B-6,at25
541,B-8_at25,1.0,-0.044,23.0,18_24,B-8,at25
542,B-11_at25,1.0,-0.039,23.0,18_24,B-11,at25
543,B-1_at25,1.0,-0.004,23.0,18_24,B-1,at25
544,B-0_at25,0.0,0.0,23.0,18_24,B-0,at25
545,B-9_at25,1.0,-0.002,23.0,18_24,B-9,at25
546,B-5_at25,1.0,-0.019,23.0,18_24,B-5,at25
547,B-10_at25,1.0,-0.003,23.0,18_24,B-10,at25
548,B-3_at25,1.0,-0.027,23.0,18_24,B-3,at25
549,B-4_at25,1.0,-0.022,23.0,18_24,B-4,at25
550,B-7_at25,1.0,-0.017,23.0,18_24,B-7,at25
551,B-2_at25,1.0,-0.047,23.0,18_24,B-2,at25
552,B-0_bad,1.0,-0.018,24.0,18_24,B-0,bad
553,B-1_bad,1.0,-0.004,24.0,18_24,B-1,bad
554,B-2_bad,1.0,-0.041,24.0,18_24,B-2,bad
555,B-3_bad,1.0,-0.019,24.0,18_24,B-3,bad
556,B-4_bad,0.0,0.0,24.0,18_24,B-4,bad
557,B-5_bad,0.0,0.0,24.0,18_24,B-5,bad
558,B-6_bad,0.0,0.0,24.0,18_24,B-6,bad
559,B-7_bad,1.0,-0.01,24.0,18_24,B-7,bad
560,B-8_bad,0.0,0.0,24.0,18_24,B-8,bad
561,B-9_bad,0.0,0.0,24.0,18_24,B-9,bad
562,B-10_bad,0.0,0.0,24.0,18_24,B-10,bad
563,B-11_bad,0.0,0.0,24.0,18_24,B-11,bad
564,B-6_at25,1.0,-0.006,24.0,18_24,B-6,at25
565,B-8_at25,1.0,-0.04,24.0,18_24,B-8,at25
566,B-11_at25,1.0,-0.04,24.0,18_24,B-11,at25
567,B-1_at25,1.0,-0.004,24.0,18_24,B-1,at25
568,B-0_at25,0.0,0.0,24.0,18_24,B-0,at25
569,B-9_at25,1.0,-0.003,24.0,18_24,B-9,at25
570,B-5_at25,1.0,-0.023,24.0,18_24,B-5,at25
571,B-10_at25,1.0,-0.002,24.0,18_24,B-10,at25
572,B-3_at25,1.0,-0.026,24.0,18_24,B-3,at25
573,B-4_at25,1.0,-0.022,24.0,18_24,B-4,at25
574,B-7_at25,1.0,-0.018,24.0,18_24,B-7,at25
575,B-2_at25,1.0,-0.044,24.0,18_24,B-2,at25
